"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","5089","5089","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","499","168","09/19/19 14:54:26","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","5089","NA","NA","NA","1358422","NA","5089","NA","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","NA","NA","NA","NA","NA","4850","NA","NA","NA","1363791","NA","NA","NA","NA","1384888","NA","NA","NA","NA","1368794","NA","NA","5365","4859","5362","NA","NA","NA","1379797","NA","1378796","NA","NA","New experiment","0","5089","1","yes","1024"
"Practice","undefined","undefined","4212","4212","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","502","185","09/19/19 14:54:26","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3335","NA","NA","NA","40480","NA","3335","NA","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","NA","NA","NA","NA","NA","4850","NA","NA","NA","1430742","NA","NA","NA","NA","1450080","NA","NA","NA","NA","1435743","NA","NA","1390259","4859","1390257","NA","NA","NA","1446744","NA","1445744","1384985","NA","New experiment","0","8424","2","yes","1024"
"Practice","undefined","undefined","3701.33333333","3701.33333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","122","-384","09/19/19 14:54:26","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2680","NA","NA","NA","11769","NA","2680","NA","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","NA","NA","NA","NA","NA","4850","NA","NA","NA","1467141","NA","NA","NA","NA","1485825","NA","NA","NA","NA","1472143","NA","NA","1455370","4859","1455368","NA","NA","NA","1483144","NA","1482144","1450140","NA","New experiment","0","11104","3","yes","1024"
"Practice","undefined","undefined","3392.5","3392.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","90","-384","09/19/19 14:54:26","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2466","NA","NA","NA","54518","NA","2466","NA","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","NA","NA","NA","NA","NA","4850","NA","NA","NA","1545603","NA","NA","NA","NA","1564073","NA","NA","NA","NA","1550605","NA","NA","1491081","4859","1491079","NA","NA","NA","1561607","NA","1560607","1485855","NA","New experiment","0","13570","4","yes","1024"
"Practice","undefined","undefined","3339.6","3339.6","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","90","-383","09/19/19 14:54:26","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","3128","NA","NA","22115","54518","3128","2466","NA","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","1572753","NA","1611100","NA","NA","4850","NA","1594872","NA","1545603","NA","NA","NA","1615229","1564073","NA","NA","NA","1569118","1550605","1599872","1572755","1491081","4859","1491079","NA","NA","1612100","1561607","NA","1560607","1564102","NA","New experiment","0","16698","5","yes","1024"
"Neutral","undefined","undefined","3303.66666667","3303.66666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","89","-381","09/19/19 14:54:26","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","3124","22139","NA","22115","54518","3124","2466","NA","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","1623154","NA","1710562","NA","NA","4850","NA","1645298","NA","1545603","NA","1623156","NA","1714687","1564073","1615271","NA","1650298","1569118","1550605","1599872","1572755","1491081","4859","1491079","NA","NA","1711562","1561607","NA","1560607","1564102","NA","New experiment","0","19822","6","yes","1024"
"Relaxed","undefined","undefined","3390.85714286","3390.85714286","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","142","-328","09/19/19 14:54:26","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3914","22139","109176","22115","54518","3124","2466","3914","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","1623154","1725822","1710562","2033231","1719734","4850","NA","1645298","1835005","1545603","NA","1623156","1725824","2038147","1564073","1714716","NA","1650298","1569118","1550605","1599872","1572755","1491081","4859","1491079","1840006","NA","1711562","1561607","2034232","1560607","1564102","NA","New experiment","0","23736","7","yes","1024"
"Happy","undefined","undefined","3331.25","3331.25","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","142","-328","09/19/19 14:54:26","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2914","22139","51993","22115","54518","3124","2466","2914","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","1623154","2050941","1710562","2228163","1719734","4850","NA","1645298","2102945","1545603","2107947","1623156","2050944","2232081","1564073","1714716","2038183","1650298","1569118","1550605","1599872","1572755","1491081","4859","1491079","1840006","NA","1711562","1561607","2229164","1560607","1564102","NA","New experiment","0","26650","8","yes","1024"
"Sad","undefined","undefined","3258.44444444","3258.44444444","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","142","-328","09/19/19 14:54:26","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2676","22139","30993","22115","54518","3124","2466","2676","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","1623154","2243899","1710562","2412143","1719734","4850","NA","1645298","2274911","1545603","2107947","1623156","2243902","2415832","1564073","1714716","2232145","1650298","1569118","1550605","1599872","1572755","1491081","4859","1491079","1840006","2279916","1711562","1561607","2413144","1560607","1564102","NA","New experiment","0","29326","9","yes","1024"
"Fear","undefined","undefined","3248.2","3248.2","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","143","-328","09/19/19 14:54:26","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1012.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3156","22139","37816","22115","54518","3124","2466","3156","NA","2","legacy","1024","1","48000","-16","experiment","1012","even","1623154","2429728","1710562","2611695","1719734","4850","2472556","1645298","2467555","1545603","2107947","1623156","2429731","2615863","1564073","1714716","2415947","1650298","1569118","1550605","1599872","1572755","1491081","4859","1491079","1840006","2279916","1711562","1561607","2612696","1560607","1564102","NA","New experiment","0","32482","10","yes","1024"
